Gene ID	TSS ID	Transcript ID	gene name
LH00461	TSS2561	ENST00000610119	RP11-326G21.1
LH00462	TSS2564	P1P2	SEC22B
LH00462	TSS2565	P1P2	SEC22B
LH00463	TSS2575	CUFF.2525.1,CUFF.2525.2	-
LH00464	TSS2577	ENST00000437377	WI2-925H4.1
LH00465	TSS2581	P1P2	RP11-337C18.8
LH00466	TSS2582	P1P2	RP11-337C18.10
LH00467	TSS2584	ENST00000606152	RP11-337C18.9
LH00468	TSS2591	CUFF.2548.1	-
LH00469	TSS2599	ENST00000428911	RP11-433J22.2
LH00470	TSS2600	ENST00000610161	XXyac-YX155B6.7
LH00471	TSS2601	CUFF.2563.1	RP6-74O6.3
LH00472	TSS2607	CUFF.2737.1	XXyac-YX155B6.5
LH00473	TSS2609	ENST00000594699,ENST00000598757	XXyac-YX155B6.5
LH00474	TSS2613	P1P2	RP11-495P10.8
LH00475	TSS2615	CUFF.2738.13	RP11-495P10.5
LH00476	TSS2627	CUFF.2574.1	-
LH00477	TSS2630	CUFF.2584.1	-
LH00478	TSS2633	P1P2	-
LH00479	TSS2634	CUFF.2587.3	-
LH00480	TSS2635	ENST00000415104	RP11-666A1.5
LH00481	TSS2636	CUFF.2602.1	RP11-763B22.6
LH00482	TSS2645	P1P2	RP11-763B22.4
LH00483	TSS2646	P1P2	RP11-14N7.2
LH00483	TSS2647	P1P2	RP11-14N7.2
LH00484	TSS2648	ENST00000457390	RP11-14N7.2
LH00485	TSS2651	CUFF.2600.3	-
LH00486	TSS2656	CUFF.2633.6,CUFF.2633.10	RNVU1-18-AS1
LH00487	TSS2660	P1P2	RP11-403I13.5
LH00487	TSS2661	P1P2	RP11-403I13.5
LH00488	TSS2665	P1P2	RP11-403I13.4
LH00489	TSS2672	ENST00000424684	LINC00869
LH00490	TSS2673	ENST00000433084	RP11-403I13.8
LH00491	TSS2677	CUFF.2604.1	-
LH00492	TSS2678	CUFF.2606.1	-
LH00493	TSS2682	CUFF.2615.1	RP11-353N4.1
LH00494	TSS2689	CUFF.2628.4	RP11-196G18.21
LH00495	TSS2690	ENST00000608318	RP11-196G18.24
LH00496	TSS2696	P1P2	LINC00568
LH00497	TSS2699	CUFF.2646.4	-
LH00498	TSS2700	CUFF.2646.5	-
LH00499	TSS2701	CUFF.2665.1,CUFF.2665.2,CUFF.2665.4,CUFF.2665.5,CUFF.2665.6,TUCPT_00000083	TUCP-ENSA-1
LH00500	TSS2703	CUFF.2653.1	-
LH00501	TSS2704	CUFF.2653.2	-
